@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8}
@attribute outputs-2 {0,1,2,3,4,5,6,7,8}
@attribute outputs-3 {0,1,2,3,4,5,6,7,8}

@data
54,'2020/12/18 11:46:03:909',2,0.980402,0.099712,9.75701,0,1,3.584834,251.235962,364.473541,0.051965,0.084203,-0.509861,12.694613,1.041233,2.466527,2.494322,6.746893,6.80049,23.619413,6.415098,1,?,?
55,'2020/12/18 11:46:04:103',2,0.980402,0.099712,9.75701,0,1,3.587817,251.271042,364.425751,0.045491,0.088417,-0.520259,12.518491,0.979213,2.399177,2.413552,6.713366,6.767175,23.601107,6.408454,1,?,?
56,'2020/12/18 11:46:04:281',2,0.938441,0.109039,9.761036,0,1,3.586775,251.074081,364.415649,0.050653,0.085848,-0.517026,12.592025,0.990477,2.470342,2.492283,6.704049,6.766428,23.499182,6.486127,1,?,?
57,'2020/12/18 11:46:04:467',2,0.887518,0.089277,9.765999,0,1,3.587098,250.935394,364.178711,0.04179,0.090408,-0.520206,12.511656,0.970614,2.466697,2.48103,6.67858,6.740931,23.56391,6.469559,1,?,?
58,'2020/12/18 11:46:04:613',2,0.786524,0.086916,9.774672,0,1,3.58667,250.469467,364.138397,0.049528,0.089585,-0.520946,12.456572,0.967383,2.414708,2.430643,6.686994,6.747064,23.660444,6.415649,1,?,?
59,'2020/12/18 11:46:04:752',2,0.786524,0.086916,9.774672,0,1,3.586554,250.640228,364.059692,0.048382,0.08777,-0.516348,12.545321,0.94648,2.472939,2.499061,6.665298,6.743753,23.602623,6.421172,1,?,?
60,'2020/12/18 11:46:04:889',2,0.745521,0.056483,9.778108,0,1,3.577212,250.629547,364.226868,0.046057,0.08923,-0.516297,12.484774,0.939631,2.573368,2.592133,6.69346,6.745574,23.611221,6.442891,1,?,?
61,'2020/12/18 11:46:05:092',2,0.745521,0.056483,9.778108,0,1,3.584006,250.804703,364.151245,0.040721,0.090388,-0.517036,12.426953,0.983954,2.388126,2.420245,6.659286,6.730535,23.594025,6.538397,1,?,?
62,'2020/12/18 11:46:05:241',2,0.725737,0.040545,9.779675,0,1,3.583492,250.906693,364.244659,0.039714,0.09069,-0.516947,12.576138,0.957999,2.487861,2.513129,6.635468,6.717999,23.621056,6.469455,1,?,?
63,'2020/12/18 11:46:05:440',2,0.673266,0.063464,9.783305,0,1,3.579666,251.138306,364.054596,0.038718,0.088829,-0.518123,12.584892,0.991161,2.501812,2.519239,6.699033,6.759096,23.68364,6.40743,1,?,?
64,'2020/12/18 11:46:05:638',2,0.696092,0.197929,9.779912,0,1,3.579516,251.839172,363.395203,0.04313,0.081189,-0.512551,12.561643,0.991296,2.415732,2.439845,6.687101,6.750677,23.611362,6.479663,1,?,?
65,'2020/12/18 11:46:05:817',2,0.696092,0.197929,9.779912,0,1,3.560597,252.557098,363.148193,0.03453,0.083028,-0.508049,12.793346,0.959155,2.63527,2.641902,6.739525,6.803586,23.689558,6.399424,1,?,?
66,'2020/12/18 11:46:05:962',2,0.599613,0.057312,9.788135,0,1,3.566167,252.830032,362.779297,0.032877,0.082874,-0.507185,12.574642,0.949879,2.425654,2.447259,6.710173,6.764208,23.603737,6.431053,1,?,?
67,'2020/12/18 11:46:06:102',2,0.599613,0.057312,9.788135,0,1,3.548743,256.639496,361.289246,0.036,0.07012,-0.485531,12.756066,0.891414,2.5992,2.60025,6.750902,6.802803,23.470343,6.376601,1,?,?
68,'2020/12/18 11:46:06:267',2,0.493008,-0.002211,9.79425,0,1,3.52024,262.217896,358.577362,0.028588,0.048722,-0.440604,12.89295,1.042942,2.573327,2.576636,6.875255,6.923023,23.760851,6.278641,1,?,?
69,'2020/12/18 11:46:06:549',2,0.495976,0.106804,9.793518,0,1,3.469417,265.326752,355.779602,0.007749,0.043574,-0.406324,12.958728,1.030943,2.416738,2.42579,7.32182,7.370157,24.176361,6.236002,1,?,?
70,'2020/12/18 11:46:06:741',2,0.495976,0.106804,9.793518,0,1,3.485858,264.846893,355.542084,0.012311,0.045554,-0.410123,12.864202,1.068398,2.428314,2.421341,7.209079,7.242627,24.062962,6.258873,1,?,?
71,'2020/12/18 11:46:06:923',2,0.397608,0.070755,9.79833,0,1,3.508267,265.102142,356.511902,0.027166,0.041927,-0.404963,12.722463,1.049465,2.60428,2.590697,7.053401,7.093597,23.808414,6.343229,1,?,?
72,'2020/12/18 11:46:07:080',2,0.397608,0.070755,9.79833,0,1,3.517703,265.063599,357.399811,0.032373,0.041996,-0.402021,12.701226,0.987186,2.758188,2.736824,6.972528,7.011459,23.821568,6.274527,1,?,?
73,'2020/12/18 11:46:07:237',2,0.357117,0.071631,9.799885,0,1,3.522104,264.209167,357.912872,0.037323,0.040487,-0.398163,12.524327,1.00855,2.737643,2.728419,7.016,7.047993,24.028893,6.17468,1,?,?
74,'2020/12/18 11:46:07:384',2,0.357117,0.071631,9.799885,0,1,3.53011,263.301086,357.863464,0.037335,0.041578,-0.40276,12.496358,1.011232,2.667737,2.65676,7.007926,7.031942,23.980154,6.21486,1,?,?
